Category,Product,Volume (mL),ABV (%),qty,Current Price ($),Regular Price ($),mL / $,mL / $ (sale)
Beer,Beaus Farm Table Patersbier 600ml,,,1,,,,
Beer,St Ambroise Vintage Ale 341ml,,,1,,,,
Beer,Boxing Rock The Vicars Cross 650ml,,,1,,,,
Beer,Saugatuck Bonfire Brown 650ml,,,1,,,,
Beer,Red Racer Imperial IPA 650ml,,,1,,,,
Beer,Ayinger Weizen Bock 500ml,,,1,,,,
Beer,Unibroue La Fin du Monde Ale 750ml,750,9.0,1,7.79,7.79,8.664955070603337,8.664955070603337
Beer,Dead Frog Cream Key Lime Milkshake IPA 650ml,,,1,,,,
Beer,Sawdust City The Blood Of Cthulhu 473ml,,,1,,,,
Beer,Beaus Farm Table Hopfenlager 600ml,,,1,,,,
Beer,Category 12 Wild IPA 650ml,,,1,,,,
Beer,Barkerville Demimondaine 650ml,,,1,,,,
Beer,Garrison Brewing Wintervention Imperial Chocolate Stout 650ml,,,1,,,,
Beer,Garrison Grand Baltic Porter 650ml,,,1,,,,
Beer,Garrison Ol' Fog Burner 650ml,,,1,,,,
Beer,Beaus Patio Saison 600ml,,,1,,,,
Beer,Le Trou Du Diable Pitoune 600ml,,,1,,,,
Beer,Le Trou Du Diable Saison Du Tracteur 600ml,,,1,,,,
Beer,Le Trou Du Diable Capitaine Simcoe 600ml,,,1,,,,
Beer,Le Trou Du Diable SMaSH Citra 600ml,,,1,,,,
Beer,Central City Thors Hammer Bottle Conditioned Barleywine 650ml,,,1,,,,
Beer,James Ready Light 12 C,,,1,,,,
Beer,McEwans Scotch Ale 6 B,,,1,,,,
Beer,Stift Engelszell Benno Trappistenbier 330ml,,,1,,,,
Beer,Category 12 Mainframe Red Ale 650ml,,,1,,,,
Beer,Les Trois Mousquetaires Double IPA Bavaroise 750ml,,,1,,,,
Beer,Muskoka Craft Lager 4 C,,,1,,,,
Beer,Distillerie Fils Du Roy Evangeline Nut Brown 750ml,750,7.0,1,7.79,7.79,6.739409499358152,6.739409499358152
Beer,Distillerie Fils Du Roy La Messe Blanche 750ml,750,7.0,1,10.21,10.21,5.142017629774731,5.142017629774731
